,id,date,capacity,turnover,openprice,highprice,lowprice,close,change,transcation
0,1,2010-01-04,20083125,1132155005,56.45,56.65,56.05,56.5,0.05,1624
1,2,2010-01-05,16453854,932015376,56.8,56.9,56.15,56.5,0.0,1866
2,3,2010-01-06,19012172,1087143829,56.5,57.75,56.5,57.55,1.05,2958
3,4,2010-01-07,14110575,814344344,57.6,58.15,57.3,57.4,-0.15,1846
4,5,2010-01-08,11342752,651830965,57.3,57.75,57.05,57.75,0.35,1493
5,6,2010-01-11,11581081,670025579,57.1,58.05,57.1,57.9,0.15,1636
6,7,2010-01-12,7306217,420473484,57.55,57.85,57.25,57.6,-0.3,1329
7,8,2010-01-13,16686518,948986977,57.05,57.15,56.7,56.75,-0.85,2021
8,9,2010-01-14,9978365,570406499,56.8,57.6,56.8,57.45,0.7,1208
9,10,2010-01-15,8425543,485743844,57.35,57.95,57.35,57.8,0.35,1020
10,11,2010-01-18,5019674,288586818,57.45,57.7,57.3,57.5,-0.3,767
11,12,2010-01-19,6724054,382797005,57.5,57.7,56.5,56.75,-0.75,1461
12,13,2010-01-20,23397890,1318003114,56.8,56.95,56.1,56.4,-0.35,1627
13,14,2010-01-21,13862156,776395581,56.15,56.4,55.75,55.95,-0.45,1880
14,15,2010-01-22,29477562,1612081382,55.2,55.2,54.35,54.4,-1.55,3929
15,16,2010-01-25,12845252,695785374,53.95,54.45,53.8,54.2,-0.2,2147
16,17,2010-01-26,26395774,1416284559,54.15,54.55,52.75,52.95,-1.25,4558
17,18,2010-01-27,14855839,787198926,52.95,53.3,52.7,52.9,-0.05,2182
18,19,2010-01-28,12622891,676089714,53.1,54.2,53.1,54.05,1.15,1822
19,20,2010-01-29,13799786,727944433,52.95,53.25,52.2,53.0,-1.05,2804
20,21,2010-02-01,19637117,1030361997,53.15,53.2,51.95,52.4,-0.6,2590
21,22,2010-02-02,11987878,625747966,52.95,52.95,51.6,51.85,-0.55,2350
22,23,2010-02-03,13598236,714184048,52.1,52.8,52.05,52.75,0.9,1744
23,24,2010-02-04,5940528,312541875,52.75,52.85,52.35,52.55,-0.2,982
24,25,2010-02-05,24216962,1231585083,51.25,51.3,50.5,50.75,-1.8,5321
25,26,2010-02-06,20632533,1049372801,50.8,51.3,50.3,51.2,0.45,2283
26,27,2010-02-08,18165694,924930778,51.05,51.2,50.7,50.85,-0.35,1878
27,28,2010-02-09,11269571,578396177,50.85,51.65,50.75,51.55,0.7,2082
28,29,2010-02-10,11276655,586447115,51.95,52.25,51.7,52.1,0.55,2214
29,30,2010-02-22,11224937,594117801,53.05,53.15,52.6,52.6,0.5,2098
30,31,2010-02-23,9598427,504580432,52.6,52.75,52.2,52.6,0.0,1240
31,32,2010-02-24,11037905,577819651,52.15,52.55,52.15,52.25,-0.35,1024
32,33,2010-02-25,20470988,1062022326,52.25,52.3,51.35,51.65,-0.6,2193
33,34,2010-02-26,9391284,483837797,51.65,51.75,51.2,51.55,-0.1,1366
34,35,2010-03-01,13647130,715419506,51.5,52.95,51.5,52.8,1.25,2066
35,36,2010-03-02,9997438,528112268,52.75,53.1,52.55,52.65,-0.15,1225
36,37,2010-03-03,8764746,462426932,52.7,53.1,52.5,52.65,0.0,1041
37,38,2010-03-04,8149453,426373974,52.75,52.9,51.8,52.2,-0.45,1295
38,39,2010-03-05,13619167,720117212,52.85,53.2,52.5,52.95,0.75,1541
39,40,2010-03-08,16985546,907762324,53.3,53.65,53.25,53.65,0.7,2472
40,41,2010-03-09,7770200,417203238,53.7,53.8,53.55,53.8,0.15,1070
41,42,2010-03-10,6842414,367950915,53.85,53.95,53.45,53.8,0.0,1009
42,43,2010-03-11,6657965,358344611,54.0,54.0,53.5,53.65,-0.15,1013
43,44,2010-03-12,12617367,675578756,53.7,53.7,53.4,53.6,-0.05,753
44,45,2010-03-15,10347597,548486587,53.5,53.55,52.7,52.85,-0.75,1374
45,46,2010-03-16,13206323,698390628,52.8,53.1,52.75,53.1,0.25,869
46,47,2010-03-17,14910569,802914397,53.45,54.15,53.4,54.15,1.05,2346
47,48,2010-03-18,8609032,467282129,54.25,54.55,54.05,54.4,0.25,1693
48,49,2010-03-19,5394422,292259307,54.45,54.45,54.0,54.25,-0.15,926
49,50,2010-03-22,7376253,395093362,54.0,54.0,53.25,53.7,-0.55,1331
50,51,2010-03-23,8078483,432328487,53.7,53.8,53.25,53.35,-0.35,1116
51,52,2010-03-24,19134856,1025228740,53.5,53.75,53.45,53.5,0.15,1050
52,53,2010-03-25,14547242,774041367,53.35,53.7,52.9,53.5,0.0,1523
53,54,2010-03-26,11520708,617381687,53.25,54.15,52.9,54.0,0.5,1722
54,55,2010-03-29,16278063,885608225,54.15,54.55,54.15,54.5,0.5,1980
55,56,2010-03-30,7592145,413272436,54.5,54.55,54.35,54.45,-0.05,782
56,57,2010-03-31,10909581,592799089,54.35,54.45,54.2,54.25,-0.2,1245
57,58,2010-04-01,12561233,687176060,54.25,54.9,54.25,54.75,0.5,1709
58,59,2010-04-02,5653319,309707002,54.75,54.9,54.65,54.75,0.0,852
